"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"INFY","EQ","24-May-2019","        701.05","        703.80","        711.75","        700.45","        709.00","        709.20","        706.58","    7016424","          4957669574.00","     143196"
"INFY","EQ","27-May-2019","        709.20","        707.40","        713.80","        705.50","        709.50","        708.10","        711.80","   10247544","          7294165659.35","      89920"
"INFY","EQ","28-May-2019","        708.10","        712.00","        733.45","        709.80","        726.25","        728.10","        725.58","   23860490","         17312718819.75","     195730"
"INFY","EQ","29-May-2019","        728.10","        725.50","        733.65","        723.65","        727.00","        727.80","        729.38","   10293077","          7507528234.50","     121851"
"INFY","EQ","30-May-2019","        727.80","        727.00","        737.25","        722.55","        732.60","        733.55","        733.51","   15089296","         11068104088.70","     149521"
"INFY","EQ","31-May-2019","        733.55","        736.50","        742.95","        733.20","        737.00","        737.75","        737.91","    8290306","          6117494484.60","     138065"
"INFY","EQ","03-Jun-2019","        737.75","        729.80","        750.90","        729.00","        745.15","        744.65","        742.27","    7744761","          5748728042.50","      97774"
"INFY","EQ","04-Jun-2019","        744.65","        737.25","        739.45","        733.15","        734.90","        735.30","        736.49","   11733702","          8641713182.70","     109238"
"INFY","EQ","06-Jun-2019","        735.30","        736.50","        744.65","        733.65","        735.50","        735.60","        736.86","    7563925","          5573564233.65","     124258"
"INFY","EQ","07-Jun-2019","        735.60","        735.85","        743.95","        735.85","        738.50","        739.10","        739.65","    3218358","          2380445779.00","      98025"
"INFY","EQ","10-Jun-2019","        739.10","        740.10","        754.10","        740.10","        753.00","        753.50","        751.37","    4435148","          3332437615.75","     124012"
"INFY","EQ","11-Jun-2019","        753.50","        755.00","        759.00","        750.50","        754.00","        754.90","        754.71","    5733127","          4326875500.85","     131848"
"INFY","EQ","12-Jun-2019","        754.90","        756.95","        756.95","        745.00","        753.00","        753.80","        750.69","    8738342","          6559815654.50","     169526"
"INFY","EQ","13-Jun-2019","        753.80","        740.00","        747.20","        740.00","        742.20","        742.65","        743.56","    4808577","          3575457337.65","      97174"
"INFY","EQ","14-Jun-2019","        742.65","        743.85","        745.50","        738.25","        739.60","        740.45","        741.51","    5556353","          4120112206.80","     105007"
"INFY","EQ","17-Jun-2019","        740.45","        743.00","        744.50","        737.80","        739.05","        740.55","        741.80","    3085588","          2288895910.05","      72650"
"INFY","EQ","18-Jun-2019","        740.55","        740.20","        752.45","        740.20","        751.45","        750.15","        749.20","    6202838","          4647146092.80","     150082"
"INFY","EQ","19-Jun-2019","        750.15","        752.50","        755.40","        748.60","        751.95","        751.90","        751.20","    4596253","          3452713823.50","      91764"
"INFY","EQ","20-Jun-2019","        751.90","        737.80","        756.90","        735.90","        754.95","        754.90","        749.22","    7148684","          5355932052.15","     113630"
"INFY","EQ","21-Jun-2019","        754.90","        755.00","        755.00","        747.15","        751.75","        750.20","        750.28","   13200318","          9903909135.25","     122666"
"INFY","EQ","24-Jun-2019","        750.20","        751.90","        751.90","        742.65","        745.00","        745.50","        747.99","    4758178","          3559059442.10","      70416"
"INFY","EQ","25-Jun-2019","        745.50","        744.00","        750.90","        737.30","        745.45","        748.10","        744.67","    3677911","          2738811697.20","     118947"
"INFY","EQ","26-Jun-2019","        748.10","        743.00","        751.45","        738.00","        739.40","        739.20","        743.56","    5447130","          4050265776.85","      98489"
"INFY","EQ","27-Jun-2019","        739.20","        742.00","        744.70","        728.15","        731.70","        730.55","        733.31","   11122346","          8156165446.65","     145135"
"INFY","EQ","28-Jun-2019","        730.55","        735.50","        739.50","        728.50","        731.70","        732.00","        732.85","    5919494","          4338124833.55","     116890"
"INFY","EQ","01-Jul-2019","        732.00","        735.00","        737.50","        729.85","        731.70","        731.30","        733.32","    3224968","          2364922428.15","     101260"
"INFY","EQ","02-Jul-2019","        731.30","        734.00","        741.65","        730.10","        739.50","        740.00","        734.99","    4837606","          3555605380.15","      88954"
"INFY","EQ","03-Jul-2019","        740.00","        741.00","        743.20","        730.00","        731.70","        731.30","        736.80","    5958379","          4390116575.45","     133416"
"INFY","EQ","04-Jul-2019","        731.30","        729.00","        736.40","        728.60","        732.50","        733.80","        733.38","    3274064","          2401148622.20","      97167"
"INFY","EQ","05-Jul-2019","        733.80","        735.00","        736.40","        713.50","        718.00","        718.00","        723.71","    4926289","          3565194468.40","     113048"
"INFY","EQ","08-Jul-2019","        718.00","        716.45","        724.95","        712.30","        717.20","        717.60","        717.20","    7177092","          5147414055.90","     111837"
"INFY","EQ","09-Jul-2019","        717.60","        718.00","        719.85","        709.05","        713.80","        715.50","        713.79","    5022638","          3585086283.25","     121716"
"INFY","EQ","10-Jul-2019","        715.50","        709.00","        722.70","        706.50","        717.55","        717.25","        716.16","    7573816","          5424075999.15","     130598"
"INFY","EQ","11-Jul-2019","        717.25","        719.45","        723.50","        709.60","        722.40","        721.50","        716.61","    6252688","          4480742890.05","     104709"
"INFY","EQ","12-Jul-2019","        721.50","        722.50","        730.60","        719.60","        730.05","        726.75","        724.08","    7874441","          5701708860.90","     122936"
"INFY","EQ","15-Jul-2019","        726.75","        763.00","        781.65","        754.20","        779.40","        779.35","        769.12","   31064152","         23891946222.05","     665352"
"INFY","EQ","16-Jul-2019","        779.35","        777.00","        787.80","        776.00","        782.90","        784.85","        782.56","    9924322","          7766341595.70","     231682"
"INFY","EQ","17-Jul-2019","        784.85","        783.90","        795.00","        776.75","        794.00","        794.15","        789.65","    6754348","          5333567143.85","     159078"
"INFY","EQ","18-Jul-2019","        794.15","        789.05","        798.50","        786.20","        791.75","        792.70","        793.85","    6534471","          5187412943.75","     148380"
"INFY","EQ","19-Jul-2019","        792.70","        788.70","        794.50","        781.25","        785.00","        785.40","        786.53","    6812754","          5358405148.45","      96268"
"INFY","EQ","22-Jul-2019","        785.40","        785.95","        792.00","        782.05","        784.10","        784.40","        787.13","    7107151","          5594276878.85","     132725"
"INFY","EQ","23-Jul-2019","        784.40","        787.00","        804.00","        785.55","        790.00","        790.05","        795.33","   10782564","          8575674726.55","     207585"
"INFY","EQ","24-Jul-2019","        790.05","        788.00","        793.75","        783.60","        786.65","        786.30","        786.78","    5745146","          4520166051.60","     236924"
"INFY","EQ","25-Jul-2019","        786.30","        788.25","        800.20","        787.65","        792.90","        794.50","        793.82","    9773568","          7758491817.40","     259756"
"INFY","EQ","26-Jul-2019","        794.50","        792.30","        795.00","        782.20","        789.50","        787.00","        786.88","    4941763","          3888567431.70","     201172"
"INFY","EQ","29-Jul-2019","        787.00","        789.50","        796.95","        786.20","        791.85","        791.45","        790.84","    6244316","          4938229660.60","     190597"
"INFY","EQ","30-Jul-2019","        791.45","        791.90","        797.80","        788.55","        791.65","        792.70","        793.92","    8673253","          6885836888.55","     193679"
"INFY","EQ","31-Jul-2019","        792.70","        790.85","        799.80","        781.60","        795.00","        793.65","        792.38","    7350584","          5824475368.20","     209577"
"INFY","EQ","01-Aug-2019","        793.65","        786.45","        788.40","        764.40","        770.25","        768.85","        774.33","   10066407","          7794755234.05","     216329"
"INFY","EQ","02-Aug-2019","        768.85","        765.05","        779.90","        762.25","        774.75","        775.60","        770.48","   10838336","          8350680485.05","     227612"
"INFY","EQ","05-Aug-2019","        775.60","        772.60","        785.90","        768.65","        776.80","        776.70","        777.83","    9976238","          7759839281.05","     281736"
"INFY","EQ","06-Aug-2019","        776.70","        778.80","        783.70","        769.80","        775.30","        774.45","        776.57","    9331718","          7246765643.85","     199427"
"INFY","EQ","07-Aug-2019","        774.45","        778.90","        783.45","        772.35","        776.05","        776.10","        778.99","    5130457","          3996582933.60","     157512"
"INFY","EQ","08-Aug-2019","        776.10","        782.70","        792.75","        781.25","        787.10","        788.75","        787.81","    8009009","          6309550989.70","     171889"
"INFY","EQ","09-Aug-2019","        788.75","        792.00","        796.75","        784.80","        790.00","        789.85","        790.13","    4362520","          3446958075.10","      77391"
"INFY","EQ","13-Aug-2019","        789.85","        784.15","        786.00","        760.15","        764.00","        764.75","        772.53","    7517099","          5807216873.40","     161749"
"INFY","EQ","14-Aug-2019","        764.75","        775.10","        778.25","        768.00","        772.80","        774.80","        773.33","    5940968","          4594357881.15","     154633"
"INFY","EQ","16-Aug-2019","        774.80","        780.00","        780.05","        762.50","        775.00","        774.55","        772.37","    5128088","          3960775631.80","     125413"
"INFY","EQ","19-Aug-2019","        774.55","        775.60","        783.00","        773.35","        778.00","        777.65","        779.02","    3881451","          3023717274.55","     107402"
"INFY","EQ","20-Aug-2019","        777.65","        785.20","        798.00","        783.85","        792.50","        792.75","        793.28","    8435344","          6691567042.75","     140808"
"INFY","EQ","21-Aug-2019","        792.75","        793.00","        803.75","        793.00","        799.25","        799.45","        799.47","    5926896","          4738350174.65","     154752"
"INFY","EQ","22-Aug-2019","        799.45","        799.90","        801.30","        792.35","        795.40","        795.70","        797.00","    5222488","          4162305017.45","     136435"
"INFY","EQ","23-Aug-2019","        795.70","        796.45","        809.95","        795.80","        801.25","        802.20","        802.51","    6895015","          5533306729.60","     151009"
"INFY","EQ","26-Aug-2019","        802.20","        795.90","        806.80","        786.90","        804.30","        802.55","        799.09","    5412074","          4324723248.25","     141654"
"INFY","EQ","27-Aug-2019","        802.55","        791.00","        794.95","        781.10","        785.50","        784.65","        785.23","   16061642","         12612131007.40","     242098"
"INFY","EQ","28-Aug-2019","        784.65","        787.40","        805.00","        786.30","        803.50","        802.50","        796.96","    5881134","          4687024730.60","     113678"
"INFY","EQ","29-Aug-2019","        802.50","        795.50","        809.70","        795.50","        808.30","        806.95","        805.11","    7830413","          6304378192.25","     117244"
"INFY","EQ","30-Aug-2019","        806.95","        810.00","        817.35","        802.00","        814.75","        814.90","        809.24","    8174186","          6614876749.25","     144388"
"INFY","EQ","03-Sep-2019","        814.90","        815.00","        822.40","        812.05","        812.75","        814.25","        816.96","    5647088","          4613455969.85","     109072"
"INFY","EQ","04-Sep-2019","        814.25","        810.75","        822.45","        810.25","        819.90","        821.30","        818.11","    6199015","          5071479097.25","     124357"
"INFY","EQ","05-Sep-2019","        821.30","        830.10","        837.50","        826.65","        835.10","        834.05","        833.00","    7926895","          6603073399.30","     242554"
"INFY","EQ","06-Sep-2019","        834.05","        843.30","        847.00","        835.05","        840.25","        840.15","        840.49","    6106841","          5132762932.40","     171032"
"INFY","EQ","09-Sep-2019","        840.15","        836.80","        840.30","        827.55","        830.00","        829.10","        830.92","    4377870","          3637654796.40","     122479"
"INFY","EQ","11-Sep-2019","        829.10","        822.30","        828.55","        814.15","        822.10","        820.10","        818.82","    7981036","          6535045005.95","     162235"
"INFY","EQ","12-Sep-2019","        820.10","        816.40","        819.85","        810.85","        817.60","        816.40","        816.08","    4400017","          3590752489.80","     110552"
"INFY","EQ","13-Sep-2019","        816.40","        818.10","        831.05","        817.50","        829.80","        829.30","        824.18","    4832021","          3982478489.30","      93586"
"INFY","EQ","16-Sep-2019","        829.30","        832.05","        837.95","        820.55","        827.60","        827.70","        827.38","    4846496","          4009906892.00","     137629"
"INFY","EQ","17-Sep-2019","        827.70","        831.50","        835.00","        820.55","        832.35","        831.25","        827.54","    5540901","          4585299188.00","     135783"
"INFY","EQ","18-Sep-2019","        831.25","        829.90","        832.95","        824.00","        831.45","        829.85","        828.68","    3199389","          2651273644.15","     115862"
"INFY","EQ","19-Sep-2019","        829.85","        824.85","        827.00","        815.20","        820.30","        820.70","        820.99","    6601607","          5419828832.75","     120499"
"INFY","EQ","20-Sep-2019","        820.70","        822.90","        835.00","        802.00","        807.30","        805.00","        811.86","   22462366","         18236400807.25","     277034"
"INFY","EQ","23-Sep-2019","        805.00","        806.90","        806.90","        741.90","        765.00","        764.35","        770.66","   17279260","         13316370233.10","     423674"
"INFY","EQ","24-Sep-2019","        764.35","        765.00","        798.65","        765.00","        794.00","        794.05","        785.94","   13717998","         10781580307.60","     236139"
"INFY","EQ","25-Sep-2019","        794.05","        787.70","        801.00","        781.65","        790.75","        792.65","        793.69","    9313576","          7392081925.45","     257048"
"INFY","EQ","26-Sep-2019","        792.65","        787.75","        797.00","        778.10","        784.60","        782.55","        783.93","   18442824","         14457802893.35","     178651"
"INFY","EQ","27-Sep-2019","        782.55","        787.05","        794.25","        780.10","        782.20","        782.20","        785.46","    5087642","          3996126504.85","     161432"
"INFY","EQ","30-Sep-2019","        782.20","        785.10","        808.00","        784.15","        804.20","        805.65","        801.63","    8178091","          6555812642.85","     156000"
"INFY","EQ","01-Oct-2019","        805.65","        807.00","        807.55","        791.55","        794.95","        793.55","        796.66","    5881438","          4685487403.15","     172253"
"INFY","EQ","03-Oct-2019","        793.55","        792.55","        797.85","        784.15","        786.40","        785.60","        791.93","    5497672","          4353793069.65","     166567"
"INFY","EQ","04-Oct-2019","        785.60","        790.00","        797.60","        787.05","        792.30","        793.45","        794.32","    8201713","          6514820230.85","     114239"
"INFY","EQ","07-Oct-2019","        793.45","        794.85","        802.00","        786.10","        788.80","        789.55","        791.09","    3679845","          2911078094.65","     118304"
"INFY","EQ","09-Oct-2019","        789.55","        795.45","        795.90","        778.80","        783.75","        783.65","        783.69","    6335025","          4964668557.95","     148580"
"INFY","EQ","10-Oct-2019","        783.65","        785.40","        794.70","        776.60","        782.50","        783.05","        786.97","   10402917","          8186820531.95","     123048"
"INFY","EQ","11-Oct-2019","        783.05","        781.50","        823.80","        776.60","        815.00","        814.80","        807.01","   20636344","         16653757511.40","     318660"
"INFY","EQ","14-Oct-2019","        814.80","        786.75","        797.00","        780.00","        786.30","        786.10","        789.64","   15150858","         11963746229.55","     308844"
"INFY","EQ","15-Oct-2019","        786.10","        773.10","        775.95","        765.00","        769.00","        768.30","        769.68","   13762133","         10592375902.55","     298596"
"INFY","EQ","16-Oct-2019","        768.30","        765.25","        775.95","        761.55","        771.00","        771.45","        770.12","   10767032","          8291883880.80","     258065"
"INFY","EQ","17-Oct-2019","        771.45","        767.00","        770.55","        765.10","        769.40","        769.50","        768.53","    9860495","          7578123003.70","     202471"
"INFY","EQ","18-Oct-2019","        769.50","        763.80","        773.80","        760.00","        767.50","        767.85","        767.62","   10037200","          7704758992.10","     187743"
"INFY","EQ","22-Oct-2019","        767.85","        691.10","        691.10","        638.35","        640.00","        643.55","        658.16","   90152532","         59334453056.60","    1643015"
"INFY","EQ","23-Oct-2019","        643.55","        630.00","        656.65","        615.10","        650.35","        650.60","        643.94","   60516887","         38969147748.65","    1059289"
"INFY","EQ","24-Oct-2019","        650.60","        650.00","        653.20","        632.00","        634.70","        635.35","        643.72","   25666433","         16521876122.75","     393942"
"INFY","EQ","25-Oct-2019","        635.35","        647.00","        652.50","        636.00","        637.10","        637.45","        643.66","   16549337","         10652215420.25","     327171"
"INFY","EQ","27-Oct-2019","        637.45","        651.10","        652.50","        645.55","        649.95","        648.85","        648.43","    2945433","          1909914669.20","      67356"
"INFY","EQ","29-Oct-2019","        648.85","        651.00","        653.75","        647.00","        650.90","        650.65","        650.33","   16709764","         10866929874.75","     309792"
"INFY","EQ","30-Oct-2019","        650.65","        660.40","        671.40","        656.20","        662.25","        660.60","        664.01","   22879467","         15192276718.45","     319118"
"INFY","EQ","31-Oct-2019","        660.60","        668.40","        695.45","        666.10","        687.00","        685.60","        685.39","   27405901","         18783689651.60","     424958"
"INFY","EQ","01-Nov-2019","        685.60","        690.00","        694.00","        682.60","        688.90","        687.90","        688.47","    9713519","          6687468933.40","     181647"
